epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3670.1,0.68038,0.45594,1.04241,0.98446,0.97351,0.99024,0.84154,0.63603,0.32287,0.99593,0.000990365,0.000990365,0.000990365
43,3753.87,0.68387,0.45111,1.04447,0.98717,0.97702,0.9903,0.8393,0.63444,0.33135,1.00342,0.000973861,0.000973861,0.000973861
44,3838.72,0.69664,0.46438,1.05367,0.97978,0.97077,0.98818,0.84041,0.63139,0.33119,0.99777,0.000957358,0.000957358,0.000957358
45,3924.41,0.67796,0.45315,1.03781,0.96894,0.97891,0.99014,0.84198,0.59688,0.32642,0.98618,0.000940855,0.000940855,0.000940855
46,4008.61,0.66912,0.43596,1.03446,0.97529,0.96897,0.98986,0.83769,0.62511,0.33226,0.99673,0.000924352,0.000924352,0.000924352
47,4093.43,0.66389,0.43966,1.03261,0.98195,0.98255,0.9916,0.84036,0.61556,0.31415,0.99024,0.000907848,0.000907848,0.000907848
48,4178.04,0.67074,0.43107,1.03138,0.98394,0.97333,0.9901,0.84142,0.61867,0.31204,0.98572,0.000891345,0.000891345,0.000891345
49,4263.8,0.67241,0.43048,1.03522,0.9874,0.96954,0.99108,0.84591,0.61314,0.32075,0.9861,0.000874842,0.000874842,0.000874842
50,4347.93,0.67437,0.43593,1.03566,0.99225,0.96954,0.99015,0.83867,0.60458,0.30968,0.98545,0.000858338,0.000858338,0.000858338
51,4435.1,0.65194,0.42734,1.02697,0.98567,0.97841,0.99157,0.8385,0.62315,0.3123,0.99805,0.000841835,0.000841835,0.000841835
52,4521.36,0.6603,0.42872,1.03154,0.98382,0.96795,0.99266,0.84346,0.63817,0.31602,0.99093,0.000825332,0.000825332,0.000825332
53,4609.61,0.65153,0.41695,1.02408,0.988,0.98404,0.99241,0.85433,0.59204,0.29534,0.97162,0.000808828,0.000808828,0.000808828
54,4695.14,0.65028,0.4224,1.02386,0.99689,0.97498,0.99125,0.85682,0.58293,0.29016,0.97002,0.000792325,0.000792325,0.000792325
55,4782.59,0.64922,0.41169,1.02825,0.98222,0.98248,0.99286,0.86135,0.57619,0.28543,0.96529,0.000775822,0.000775822,0.000775822
56,4867.58,0.64698,0.41626,1.031,0.9689,0.97963,0.98988,0.85868,0.57846,0.29699,0.96288,0.000759318,0.000759318,0.000759318
57,4953.95,0.63345,0.40115,1.01119,0.99369,0.97494,0.9892,0.86299,0.57796,0.2886,0.96537,0.000742815,0.000742815,0.000742815
58,5038.83,0.66069,0.42037,1.03037,0.99178,0.98075,0.99228,0.85918,0.57982,0.29004,0.97113,0.000726312,0.000726312,0.000726312
59,5125.03,0.63559,0.39229,1.02035,0.98586,0.98041,0.99346,0.86537,0.55926,0.28702,0.95659,0.000709809,0.000709809,0.000709809
60,5209.04,0.6291,0.40564,1.02375,0.98694,0.97739,0.99354,0.86484,0.55871,0.28123,0.95533,0.000693305,0.000693305,0.000693305
61,5292.99,0.6248,0.39974,1.01533,0.99006,0.98205,0.99396,0.86585,0.57005,0.28161,0.95859,0.000676802,0.000676802,0.000676802
62,5380.04,0.62556,0.39435,1.01493,0.98592,0.98448,0.99309,0.86783,0.56248,0.27711,0.9478,0.000660299,0.000660299,0.000660299
63,5466.07,0.60891,0.37636,0.99805,0.98493,0.98404,0.99147,0.8691,0.55014,0.28066,0.94364,0.000643795,0.000643795,0.000643795
64,5551.25,0.62605,0.39017,1.0106,0.98714,0.98404,0.99164,0.86865,0.55695,0.27689,0.95306,0.000627292,0.000627292,0.000627292
65,5637.67,0.60346,0.37717,1.00444,0.98568,0.98766,0.99253,0.86608,0.55596,0.27619,0.95525,0.000610789,0.000610789,0.000610789
66,5725.69,0.61456,0.37507,1.00501,0.98307,0.98585,0.9916,0.86448,0.55036,0.27433,0.94466,0.000594286,0.000594286,0.000594286
67,5813.19,0.61184,0.38727,1.00385,0.98954,0.98416,0.99245,0.86989,0.5452,0.27255,0.9448,0.000577782,0.000577782,0.000577782
68,5900.92,0.60678,0.36939,1.00192,0.98536,0.98259,0.99201,0.87698,0.53693,0.26815,0.93598,0.000561279,0.000561279,0.000561279
69,5988.39,0.61567,0.3797,1.01175,0.98761,0.98405,0.99147,0.87264,0.5419,0.26727,0.93883,0.000544776,0.000544776,0.000544776
70,6074.27,0.59713,0.3718,0.99946,0.99376,0.98501,0.99339,0.87853,0.53231,0.26683,0.93123,0.000528272,0.000528272,0.000528272
71,6164.26,0.60481,0.36645,1.00213,0.99112,0.98404,0.99396,0.87822,0.52678,0.26244,0.93143,0.000511769,0.000511769,0.000511769
72,6250.75,0.57838,0.35973,0.99348,0.98928,0.98391,0.99308,0.87614,0.51678,0.26003,0.92909,0.000495266,0.000495266,0.000495266
73,6337.98,0.60272,0.36773,1.00203,0.9956,0.98055,0.99332,0.88121,0.52305,0.25995,0.92691,0.000478762,0.000478762,0.000478762
74,6423.76,0.57988,0.35336,0.98587,0.99251,0.98585,0.99406,0.88861,0.5108,0.25345,0.91828,0.000462259,0.000462259,0.000462259
75,6511.79,0.5866,0.35488,0.99359,0.99191,0.98585,0.99396,0.88795,0.50959,0.25434,0.91153,0.000445756,0.000445756,0.000445756
76,6596.37,0.56331,0.34533,0.9808,0.98935,0.98763,0.9937,0.89211,0.50617,0.25119,0.91008,0.000429253,0.000429253,0.000429253
77,6681.61,0.58024,0.35098,0.99209,0.98953,0.98679,0.99373,0.89164,0.50827,0.25288,0.9114,0.000412749,0.000412749,0.000412749
78,6766.67,0.57359,0.35056,0.98352,0.9863,0.98766,0.99332,0.89094,0.49439,0.24559,0.90846,0.000396246,0.000396246,0.000396246
79,6854.85,0.55602,0.33917,0.97816,0.98964,0.9865,0.9928,0.89009,0.49508,0.24776,0.90796,0.000379743,0.000379743,0.000379743
80,6941.64,0.56493,0.33867,0.9828,0.9906,0.98689,0.99273,0.89206,0.48882,0.24507,0.90522,0.000363239,0.000363239,0.000363239
81,7026.42,0.56481,0.33777,0.97954,0.99678,0.9847,0.99272,0.89773,0.47557,0.23416,0.89933,0.000346736,0.000346736,0.000346736
82,7114.46,0.55717,0.33569,0.97986,0.99656,0.98394,0.99138,0.89474,0.4781,0.24113,0.90521,0.000330233,0.000330233,0.000330233
83,7200.13,0.55181,0.3276,0.97945,0.99303,0.98762,0.99237,0.89799,0.47763,0.23573,0.90037,0.000313729,0.000313729,0.000313729
84,7288.33,0.5575,0.33854,0.97954,0.99511,0.98585,0.99248,0.90042,0.47327,0.23284,0.8966,0.000297226,0.000297226,0.000297226
85,7373.85,0.56256,0.33331,0.98388,0.99454,0.98615,0.99285,0.89546,0.47235,0.23015,0.89457,0.000280723,0.000280723,0.000280723
86,7458.46,0.54778,0.32244,0.97389,0.99176,0.98766,0.99166,0.8991,0.46342,0.2272,0.88883,0.00026422,0.00026422,0.00026422
